Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"memcpy",17,0.00,17,0.00,138,0,138,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",17,0.00,17,0.00,"1,601",0,"1,601",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",16,0.00,16,0.00,"2,629",0,"2,629",0,
"main",15,0.00,"1,846,597",96.06,221,0,221,0,
"memcmp",15,0.00,15,0.00,149,0,149,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",15,0.00,56,0.00,"2,672",0,"2,672",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",15,0.00,165,0.01,"1,641",0,"1,641",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",15,0.00,31,0.00,"1,437",0,"1,437",0,
"epoch",14,0.00,"821,845",42.75,130,0,130,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",14,0.00,14,0.00,897,0,897,0,
"__uncaught_exception",13,0.00,13,0.00,"1,905",0,"1,905",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",13,0.00,13,0.00,"16,707,566",0,"16,707,566",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",13,0.00,13,0.00,"1,636",0,"1,636",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",13,0.00,13,0.00,896,0,896,0,
"std::uncaught_exception",12,0.00,12,0.00,8,0,8,0,
"memset",11,0.00,11,0.00,66,0,66,0,
"memset",11,0.00,11,0.00,73,0,73,0,
"std::basic_filebuf<char,std::char_traits<char> >::_Lock",11,0.00,11,0.00,360,0,360,0,
"std::basic_ostream<char,std::char_traits<char> >::flush",11,0.00,18,0.00,579,0,579,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",11,0.00,11,0.00,318,0,318,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",11,0.00,11,0.00,"1,429",0,"1,429",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",11,0.00,11,0.00,909,0,909,0,
"update_epoch",11,0.00,"1,750,509",91.06,164,0,164,0,
"cross_over",10,0.00,68,0.00,91,0,91,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",10,0.00,44,0.00,"2,673",0,"2,673",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",10,0.00,10,0.00,"2,631",0,"2,631",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",10,0.00,10,0.00,"2,648",0,"2,648",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",10,0.00,29,0.00,"2,696",0,"2,696",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",10,0.00,10,0.00,"2,183",0,"2,183",0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",9,0.00,53,0.00,"2,671",0,"2,671",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",9,0.00,9,0.00,"2,643",0,"2,643",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",9,0.00,9,0.00,"2,684",0,"2,684",0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",9,0.00,9,0.00,"2,184",0,"2,184",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",9,0.00,9,0.00,"1,412",0,"1,412",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",8,0.00,225,0.01,"2,735",0,"2,735",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",8,0.00,8,0.00,"3,664",0,"3,664",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",8,0.00,8,0.00,"2,743",0,"2,743",0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::deallocate",8,0.00,8,0.00,987,0,987,0,
"fflush",7,0.00,7,0.00,0,0,0,0,
"main",7,0.00,"8,114",0.42,224,0,224,0,
"memcpy",7,0.00,7,0.00,132,0,132,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",7,0.00,7,0.00,"2,678",0,"2,678",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",7,0.00,140,0.01,"2,726",0,"2,726",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",7,0.00,7,0.00,"2,737",0,"2,737",0,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",7,0.00,7,0.00,453,0,453,0,
"std::basic_ostream<unsigned short,std::char_traits<unsigned short> >::operator<<",7,0.00,7,0.00,198,0,198,0,
"std::vector<genome,std::allocator<genome> >::_Tidy",7,0.00,344,0.02,"1,641",0,"1,641",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",7,0.00,117,0.01,"1,434",0,"1,434",0,
"epoch",6,0.00,6,0.00,115,0,115,0,
"main",6,0.00,6,0.00,212,0,212,0,
"memcmp",6,0.00,6,0.00,0,0,0,0,
"memcpy",6,0.00,6,0.00,180,0,180,0,
"memset",6,0.00,6,0.00,61,0,61,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,0.00,35,0.00,"2,674",0,"2,674",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,0.00,6,0.00,"2,628",0,"2,628",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,0.00,312,0.02,"2,732",0,"2,732",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",6,0.00,6,0.00,"3,666",0,"3,666",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,0.00,6,0.00,"2,745",0,"2,745",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,0.00,6,0.00,"2,770",0,"2,770",0,
"std::basic_filebuf<char,std::char_traits<char> >::_Lock",6,0.00,6,0.00,357,0,357,0,
"std::basic_ios<char,std::char_traits<char> >::setstate",6,0.00,6,0.00,58,0,58,0,
"std::ctype<wchar_t>::toupper",6,0.00,6,0.00,"2,842",0,"2,842",0,
"std::operator<<<std::char_traits<char> >",6,0.00,6,0.00,815,0,815,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",6,0.00,6,0.00,"1,566",0,"1,566",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",6,0.00,289,0.02,"1,436",0,"1,436",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",6,0.00,6,0.00,912,0,912,0,
"memcmp",5,0.00,5,0.00,148,0,148,0,
"memset",5,0.00,5,0.00,76,0,76,0,
"memset",5,0.00,5,0.00,83,0,83,0,
"memset",5,0.00,5,0.00,142,0,142,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",5,0.00,5,0.00,"2,667",0,"2,667",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",5,0.00,7,0.00,"2,637",0,"2,637",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",5,0.00,17,0.00,"2,692",0,"2,692",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",5,0.00,81,0.00,"2,731",0,"2,731",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",5,0.00,5,0.00,"3,661",0,"3,661",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",5,0.00,5,0.00,"2,751",0,"2,751",0,
"std::basic_ostream<char,std::char_traits<char> >::flush",5,0.00,5,0.00,581,0,581,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",5,0.00,5,0.00,316,0,316,0,
"std::operator<<<std::char_traits<char> >",5,0.00,5,0.00,785,0,785,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",5,0.00,5,0.00,"1,466",0,"1,466",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",5,0.00,5,0.00,916,0,916,0,
"main",4,0.00,4,0.00,217,0,217,0,
"memcmp",4,0.00,4,0.00,167,0,167,0,
"memcpy",4,0.00,4,0.00,451,0,451,0,
"memset",4,0.00,4,0.00,82,0,82,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",4,0.00,23,0.00,"2,647",0,"2,647",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",4,0.00,4,0.00,"2,719",0,"2,719",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",4,0.00,4,0.00,"2,734",0,"2,734",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",4,0.00,4,0.00,"3,657",0,"3,657",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",4,0.00,4,0.00,"2,768",0,"2,768",0,
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",4,0.00,4,0.00,366,0,366,0,
"std::basic_ostream<char,std::char_traits<char> >::flush",4,0.00,4,0.00,574,0,574,0,
"std::basic_ostream<char,std::char_traits<char> >::flush",4,0.00,4,0.00,577,0,577,0,
"std::basic_ostream<char,std::char_traits<char> >::put",4,0.00,4,0.00,535,0,535,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",4,0.00,4,0.00,914,0,914,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",4,0.00,4,0.00,"1,455",0,"1,455",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",4,0.00,4,0.00,"1,645",0,"1,645",0,
"_wspawnvpe",3,0.00,3,0.00,0,0,0,0,
"memcmp",3,0.00,3,0.00,164,0,164,0,
"memcpy",3,0.00,3,0.00,177,0,177,0,
"memcpy",3,0.00,3,0.00,179,0,179,0,
"memcpy",3,0.00,3,0.00,467,0,467,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",3,0.00,3,0.00,"2,668",0,"2,668",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",3,0.00,3,0.00,"2,627",0,"2,627",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",3,0.00,3,0.00,"2,693",0,"2,693",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",3,0.00,98,0.01,"2,724",0,"2,724",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",3,0.00,3,0.00,"3,662",0,"3,662",0,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",3,0.00,3,0.00,284,0,284,0,
"std::basic_ios<char,std::char_traits<char> >::setstate",3,0.00,3,0.00,61,0,61,0,
"std::basic_ios<char,std::char_traits<char> >::widen",3,0.00,3,0.00,132,0,132,0,
"std::basic_ostream<char,std::char_traits<char> >::_Osfx",3,0.00,3,0.00,165,0,165,0,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",3,0.00,3,0.00,"2,211",0,"2,211",0,
"std::endl<char,std::char_traits<char> >",3,0.00,35,0.00,993,0,993,0,
"std::operator<<<std::char_traits<char> >",3,0.00,3,0.00,808,0,808,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",3,0.00,3,0.00,"1,647",0,"1,647",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",3,0.00,"1,602",0.08,"1,430",0,"1,430",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",3,0.00,3,0.00,"1,445",0,"1,445",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",3,0.00,3,0.00,"1,454",0,"1,454",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",3,0.00,47,0.00,996,0,996,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::push_back",3,0.00,112,0.01,910,0,910,0,
"update_epoch",3,0.00,3,0.00,161,0,161,0,
"update_epoch",3,0.00,3,0.00,169,0,169,0,
"memcmp",2,0.00,2,0.00,107,0,107,0,
"memcmp",2,0.00,2,0.00,170,0,170,0,
"memcmp",2,0.00,2,0.00,173,0,173,0,
"memset",2,0.00,2,0.00,166,0,166,0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,64,0.00,"2,634",0,"2,634",0,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,54,0.00,"2,636",0,"2,636",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,2,0.00,"2,685",0,"2,685",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,2,0.00,"2,699",0,"2,699",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,2,0.00,"2,723",0,"2,723",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",2,0.00,2,0.00,"3,665",0,"3,665",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",2,0.00,"3,228",0.17,"2,748",0,"2,748",0,
"std::basic_ios<char,std::char_traits<char> >::widen",2,0.00,2,0.00,130,0,130,0,
"std::basic_ostream<char,std::char_traits<char> >::put",2,0.00,2,0.00,533,0,533,0,
"std::ctype<wchar_t>::toupper",2,0.00,2,0.00,"2,843",0,"2,843",0,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",2,0.00,2,0.00,200,0,200,0,
"std::operator<<<std::char_traits<char> >",2,0.00,2,0.00,780,0,780,0,
"std::operator<<<std::char_traits<char> >",2,0.00,2,0.00,784,0,784,0,
"std::operator<<<std::char_traits<char> >",2,0.00,19,0.00,787,0,787,0,
"std::operator<<<std::char_traits<char> >",2,0.00,"3,381",0.18,804,0,804,0,
"std::vector<genome,std::allocator<genome> >::_Tidy",2,0.00,2,0.00,"1,647",0,"1,647",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",2,0.00,"2,037",0.11,"1,605",0,"1,605",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",2,0.00,2,0.00,"1,620",0,"1,620",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",2,0.00,2,0.00,"1,623",0,"1,623",0,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",2,0.00,2,0.00,723,0,723,0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",2,0.00,2,0.00,"1,426",0,"1,426",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",2,0.00,2,0.00,"1,446",0,"1,446",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",2,0.00,419,0.02,"1,449",0,"1,449",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",2,0.00,2,0.00,"1,456",0,"1,456",0,
"cross_over",1,0.00,826,0.04,94,0,94,0,
"cross_over",1,0.00,676,0.04,95,0,95,0,
"cross_over",1,0.00,524,0.03,96,0,96,0,
"epoch",1,0.00,3,0.00,136,0,136,0,
"exit",1,0.00,1,0.00,0,0,0,0,
"get_guess",1,0.00,1,0.00,187,0,187,0,
"main",1,0.00,"1,235",0.06,225,0,225,0,
"memcmp",1,0.00,1,0.00,61,0,61,0,
"memcmp",1,0.00,1,0.00,63,0,63,0,
"memcmp",1,0.00,1,0.00,125,0,125,0,
"memcmp",1,0.00,1,0.00,128,0,128,0,
"memcmp",1,0.00,1,0.00,131,0,131,0,
"memcmp",1,0.00,1,0.00,134,0,134,0,
"memcmp",1,0.00,1,0.00,178,0,178,0,
"memcmp",1,0.00,1,0.00,179,0,179,0,
"memcpy",1,0.00,1,0.00,163,0,163,0,
"memcpy",1,0.00,1,0.00,181,0,181,0,
"memcpy",1,0.00,1,0.00,302,0,302,0,
"memcpy",1,0.00,1,0.00,303,0,303,0,
"memcpy",1,0.00,1,0.00,435,0,435,0,
"memcpy",1,0.00,1,0.00,436,0,436,0,
"memcpy",1,0.00,1,0.00,452,0,452,0,
"memcpy",1,0.00,1,0.00,473,0,473,0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,1,0.00,"2,670",0,"2,670",0,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,8,0.00,"2,677",0,"2,677",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,216,0.01,"2,686",0,"2,686",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,1,0.00,"2,688",0,"2,688",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,113,0.01,"2,717",0,"2,717",0,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,1,0.00,"2,736",0,"2,736",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",1,0.00,1,0.00,"3,656",0,"3,656",0,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",1,0.00,1,0.00,"3,659",0,"3,659",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,412,0.02,"2,753",0,"2,753",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,686,0.04,"2,758",0,"2,758",0,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0.00,804,0.04,"2,769",0,"2,769",0,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",1,0.00,1,0.00,463,0,463,0,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",1,0.00,1,0.00,273,0,273,0,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",1,0.00,1,0.00,285,0,285,0,
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",1,0.00,1,0.00,363,0,363,0,
"std::basic_filebuf<char,std::char_traits<char> >::_Unlock",1,0.00,1,0.00,364,0,364,0,
"std::basic_ios<char,std::char_traits<char> >::widen",1,0.00,1,0.00,133,0,133,0,
"std::basic_ostream<char,std::char_traits<char> >::_Osfx",1,0.00,1,0.00,172,0,172,0,
"std::basic_ostream<char,std::char_traits<char> >::flush",1,0.00,1,0.00,575,0,575,0,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",1,0.00,1,0.00,386,0,386,0,
"std::basic_ostream<char,std::char_traits<char> >::put",1,0.00,1,0.00,548,0,548,0,
"std::basic_ostream<unsigned short,std::char_traits<unsigned short> >::operator<<",1,0.00,1,0.00,200,0,200,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",1,0.00,1,0.00,397,0,397,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",1,0.00,1,0.00,400,0,400,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",1,0.00,1,0.00,416,0,416,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",1,0.00,1,0.00,417,0,417,0,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",1,0.00,1,0.00,422,0,422,0,
"std::endl<char,std::char_traits<char> >",1,0.00,1,0.00,991,0,991,0,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()",1,0.00,"62,879",3.27,"1,348",0,"1,348",0,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",1,0.00,1,0.00,179,0,179,0,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",1,0.00,1,0.00,207,0,207,0,
"std::operator<<<std::char_traits<char> >",1,0.00,1,0.00,794,0,794,0,
"std::operator<<<std::char_traits<char> >",1,0.00,6,0.00,819,0,819,0,
"std::vector<genome,std::allocator<genome> >::vector<genome,std::allocator<genome> >",1,0.00,146,0.01,718,0,718,0,
"std::vector<genome,std::allocator<genome> >::vector<genome,std::allocator<genome> >",1,0.00,1,0.00,723,0,723,0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",1,0.00,1,0.00,"1,612",0,"1,612",0,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",1,0.00,1,0.00,"1,622",0,"1,622",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",1,0.00,1,0.00,"1,568",0,"1,568",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",1,0.00,1,0.00,"1,421",0,"1,421",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",1,0.00,1,0.00,"1,422",0,"1,422",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Reallocate",1,0.00,16,0.00,"1,605",0,"1,605",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Reallocate",1,0.00,34,0.00,"1,615",0,"1,615",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Reallocate",1,0.00,1,0.00,"1,623",0,"1,623",0,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",1,0.00,1,0.00,999,0,999,0,
"update_epoch",1,0.00,1,0.00,162,0,162,0,
"update_epoch",1,0.00,1,0.00,168,0,168,0,
"__scrt_common_main_seh",0,0.00,"1,922,433",100.00,253,0,253,0,
"__scrt_common_main_seh",0,0.00,1,0.00,260,0,260,0,
"cross_over",0,0.00,478,0.02,93,0,93,0,
"epoch",0,0.00,931,0.05,117,0,117,0,
"get_guess",0,0.00,8,0.00,186,0,186,0,
"get_guess",0,0.00,8,0.00,189,0,189,0,
"get_guess",0,0.00,2,0.00,190,0,190,0,
"main",0,0.00,1,0.00,207,0,207,0,
"main",0,0.00,"1,019",0.05,215,0,215,0,
"main",0,0.00,8,0.00,232,0,232,0,
"main",0,0.00,24,0.00,233,0,233,0,
"main",0,0.00,3,0.00,237,0,237,0,
"std::_Move_backward_unchecked<genome * __ptr64,genome * __ptr64>",0,0.00,2,0.00,"2,679",0,"2,679",0,
"std::basic_filebuf<char,std::char_traits<char> >::sync",0,0.00,7,0.00,593,0,593,0,
"std::endl<char,std::char_traits<char> >",0,0.00,268,0.01,992,0,992,0,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",0,0.00,"4,398",0.23,196,0,196,0,
